c_id,number_of_doors,tyre_type,number_of_cylinders,drive_type,turbo_charger,super_charger,length(mm),width(mm),height(mm),color,city,Mileage(Kmpl)
2176,5,Tubeless,4,FWD,No,No,4270,1780,1665,Polar White,jaipur,22
2177,4,"Tubeless, Radial",4,FWD,Yes,No,4490,1730,1485,Pearl Snow White,jaipur,28
2178,4,"Radial, Tubeless",4,Not specified,No,No,3995,1695,14981501,PLATINUM WHITE PEARL,jaipur,18
2179,5,"Radial, Tubless",4,4X2,Yes,No,4395,1818,1640,Black,jaipur,16
2180,5,"Radial, Tubless",4,4X2,Yes,No,4395,1818,1640,Minimal Grey,jaipur,17
2181,5,"Tubeless,Radial",4,FWD,Yes,No,3850,1695,1530,White,jaipur,23
2182,4,"Tubeless, Radial",4,FWD,No,No,4490,1730,1485,Metallic Glistening Grey,jaipur,21
2183,5,Not specified,4,Not specified,No,No,3535,1495,1405,Silver,jaipur,17
2184,5,"Tubeless, Radial",4,Not specified,No,No,4300,1790,1635,Phantom Black,jaipur,
2185,4,"Tubeless,Radial",4,Not specified,Yes,No,4841,1846,1468,White,jaipur,17
2186,5,"Tubeless,Radial",4,4WD,Yes,No,4355,2090,1635,White,jaipur,13
2187,5,"Tubeless, Radial",4,FWD,Yes,No,3995,1790,1642,Grey,jaipur,
2188,5,"Tubeless,Radial",4,RWD,Yes,No,4585,1760,1760,Silver,jaipur,13
2189,5,"Radial, Tubless",4,4X2,Yes,No,4395,1818,1640,Black,jaipur,16
2190,5,"Tubeless,Radials",3,RWD,Yes,No,3995,1835,1826,Red,jaipur,18
2191,5,"Tubeless,Radial",4,FWD,Yes,No,3995,1745,1510,Blue,jaipur,27
2192,5,"Tubeless,Radial",4,4WD,Yes,No,4695,1840,1850,White,jaipur,12
2193,5,"Tubeless, Radial",3,Not specified,No,No,3530,1490,1520,Others,jaipur,24
2194,5,Tubeless Tyres,3,FWD,No,No,3599,1495,1700,Others,jaipur,21
2195,4,"Tubeless,Radial",4,Not specified,No,No,4095,1575,1395,Others,jaipur,16
2196,5,"Tubeless, Radial",3,Not specified,No,No,3991,1739,1643,Others,jaipur,20
2197,5,"Tubeless,Radial",3,FWD,No,No,3495,1550,1500,Others,jaipur,21
2198,5,"Tubeless,Radial",3,FWD,No,No,3495,1550,1500,Others,jaipur,21
2199,5,"Tubeless,Radial",4,Front Wheel Drive,No,No,3795,1680,1427,Others,jaipur,16
2200,5,"Tubeless,Radial",3,FWD,No,No,0,0,0,Others,jaipur,18
2201,5,"Tubeless,Radial",3,FWD,No,No,3495,1550,1500,Others,jaipur,21
2202,5,"Tubeless,Radial",3,Not specified,No,No,3994,1758,1572,Others,jaipur,19
2203,5,"Tubeless,Radial",3,FWD,No,No,3679,1579,1478,Others,jaipur,25
2204,5,"Tubeless,Radial",3,FWD,No,No,3500,1600,1490,Others,jaipur,19
2205,5,"Tubeless,Radial",3,Not specified,Yes,No,3994,1758,1572,Others,jaipur,20
2206,5,"Tubeless,Radial",3,Two Wheel Drive,No,No,3495,1475,1460,Others,jaipur,27
2207,5,Tubeless Tyres,3,Not specified,No,No,3445,1515,1475,Others,jaipur,22
2208,4,"Tubeless,Radial",4,FWD,No,No,3995,1735,1515,Others,jaipur,21
2209,5,"Tubeless, Radial",3,Not specified,No,No,3991,1739,1643,Others,jaipur,20
2210,5,"Tubeless, Radial",3,Not specified,No,No,3991,1739,1643,Others,jaipur,20
2211,5,"Tubeless, Radial",4,Not specified,No,No,3520,1475,1660,Others,jaipur,17
2212,5,"Tubeless,Radial",4,FWD,No,No,3850,1695,1530,Others,jaipur,19
2213,5,"Tubeless,Radial",3,RWD(with MTT),Yes,No,3995,1795,1817,Others,jaipur,17
2214,5,"Tubeless,Radial",4,FWD,No,No,3999,1765,1708,Others,jaipur,16
2215,5,"Tubeless,Radial",4,FWD,No,No,3940,1710,1505,Others,jaipur,17
2216,5,"Tubeless,Radial",3,FWD,No,No,3565,1525,1590,Others,jaipur,18
2217,5,"Tubeless,Radial",4,FWD,Yes,No,3995,1821,1627,Others,jaipur,20
2218,5,Radial,4,FWD,Yes,No,4655,1835,1760,Others,jaipur,16
2219,5,"Tubeless,Radial",4,FWD,No,No,3940,1710,1505,Others,jaipur,17
2220,5,"Tubeless,Radial",4,Front Wheel Drive,No,No,3795,1680,1427,Others,jaipur,20
2221,5,"Tubeless, Radial",3,FWD,No,No,3695,1600,1560,Others,jaipur,23
2222,5,"Tubeless,Radial",3,Not specified,Yes,No,3981,1733,1586,Others,jaipur,19
2223,4,"Tubeless,Radial",4,FWD,Yes,No,3998,1765,1647,Others,jaipur,23
2224,5,"Tubeless,Radial",4,FWD,No,No,3995,1790,1640,Others,jaipur,17
2225,5,"Tubeless,Radial",4,FWD,Yes,No,3795,1680,1427,Others,jaipur,20
2226,5,"Tubeless,Radial",4,FWD,Yes,No,3795,1680,1427,Others,jaipur,20
2227,5,"Tubeless, Radial",4,FWD,Yes,No,4315,1800,1645,Others,jaipur,21
2228,5,"Tubeless Tyres, Radial",3,FWD,No,No,3655,1620,1675,Others,jaipur,22
2229,5,"Tubeless,Radial",3,FWD,No,No,3545,1490,1475,Others,jaipur,24
2230,5,Tubeless Radial Tyres,4,FWD,Yes,No,3994,1811,1607,Others,jaipur,22
2231,5,Tubeless,3,FWD,No,No,3785,1635,1490,Others,jaipur,21
2232,5,"Tubeless,Radial",3,RWD,Yes,NO,3995,1745,1880,Others,jaipur,16
2233,4,"Tubeless,Radial",4,2 WD,Yes,No,4160,1690,1530,Others,jaipur,19
2234,2,Radial,6,RWD,No,No,4519,1852,1300,Others,jaipur,9
2235,5,"Tubeless,Radial",3,RWD(with MTT),Yes,No,3995,1795,1817,Others,jaipur,17
2236,5,"Tubeless,Radial",3,FWD,No,No,3600,1495,1595,Others,jaipur,19
2237,5,"Tubeless,Radial",3,FWD,No,No,3495,1475,1460,Others,jaipur,20
2238,4,Radial ,3,FWD,No,No,3335,1440,1405,Others,jaipur,16
2239,5,Tubeless ,3,FWD,Yes,No,3640,1595,1520,Others,jaipur,25
2240,4,"Tubeless,Radial",4,FWD,No,No,3995,1695,1501,Others,jaipur,19
2241,3,Tubeless,4,4WD,Yes,No,3920,1726,1930,Others,jaipur,17
2242,4,"Tubeless,Radial",4,FWD,Yes,No,3990,1680,1505,Others,jaipur,26
2243,4,"Tubeless,Radial",4,2 WD,No,No,4160,1690,1530,Others,jaipur,18
2244,5,"Tubeless,Radial",3,2WD,No,No,3495,1475,1460,Others,jaipur,20
2245,4,"Tubeless,Radial",4,FWD,No,No,3565,1595,1550,Others,jaipur,20
2246,4,"Tubeless,Radial",4,Not specified,No,No,4250,1670,1370,Others,jaipur,13
2247,5,"Tubeless, Radial",4,FWD,Yes,No,4296,1695,1685,Others,jaipur,25
2248,4,"Tubeless,Radial",4,2 WD,No,No,4160,1690,1530,Others,jaipur,18
2249,5,"Radial, Tubeless",4,Not specified,Yes,No,4456,1820,1995,Others,jaipur,15
2250,5,"Tubeless,Radial",4,Not specified,No,No,3565,1525,1590,Others,jaipur,18
2251,5,"Tubeless, Radial",3,Not specified,Yes,No,3995,1821,1627,Others,jaipur,17
2252,5,"Tubeless, Radial",3,Not specified,Yes,No,3995,1821,1627,Others,jaipur,17
2253,5,Tubeless,3,FWD,No,No,3495,1550,1500,Others,jaipur,21
2254,5,Tubeless Tyres,3,Not specified,No,No,3445,1515,1475,Others,jaipur,22
2255,5,"Tubeless,Radial",3,2WD,No,No,3495,1475,1460,Others,jaipur,20
2256,5,"Tubeless, Radial",4,FWD,Yes,No,3955,1694,1544,Others,jaipur,27
2257,4,"Tubeless,Radial",4,FWD,Yes,No,3995,1695,1501,Others,jaipur,21
2258,5,Tubeless Tyres,3,Not specified,No,No,3445,1515,1475,Others,jaipur,22
2259,4,"Tubeless,Radial",4,FWD,No,No,3995,1695,1555,Others,jaipur,19
2260,5,"Radial, Tubless",4,4X2,Yes,No,4395,1818,1640,Others,jaipur,17
2261,5,"Tubeless, Radial",4,Not specified,No,No,3999,1734,1601,Others,jaipur,16
2262,5,"Tubeless,Radial",4,FWD,No,No,3495,1495,1518,Others,jaipur,18
2263,5,"Tubeless,Radial ",4,FWD,Yes,No,4585,1890,1785,Others,jaipur,15
2264,5,"Tubeless, Radial",4,Not specified,No,No,3999,1734,1601,Others,jaipur,16
2265,5,"Radial, Tubless",4,4X2,Yes,No,4395,1818,1640,Others,jaipur,17
2266,4,"Tubeless,Radial",4,Not specified,No,No,3995,1680,1520,Others,jaipur,20
2267,4,Radial,3,FWD,No,No,3335,1440,1405,Others,jaipur,16
2268,5,"Tubeless,Radial",4,FWD,Yes,No,3995,1790,1640,Others,jaipur,24
2269,5,"Tubeless,Radial",3,FWD,No,No,3679,1579,1478,Others,jaipur,25
2270,5,Tubeless Tyres,3,Not specified,No,No,3445,1515,1475,Others,jaipur,22
2271,5,"Tubeless,Radial",4,FWD,Yes,No,3995,1790,1640,Others,jaipur,24
2272,4,"Tubeless,Radial",4,Not specified,No,No,4250,1670,1370,Others,jaipur,13
2273,4,"Tubeless,Radial",3,FWD,No,No,3595,1475,1700,Others,jaipur,19
2274,4,"Tubeless, Radial",3,FWD,No,No,3595,1475,1700,Others,jaipur,19
2275,4,"Tubeless,Radial",4,2 WD,Yes,No,4160,1690,1530,Others,jaipur,19
2276,5,Tubeless Tyres,3,FWD,No,No,3445,1490,1475,Others,jaipur,25
2277,5,"Tubeless,Radial",4,FWD,Yes,No,4315,1822,1695,Others,jaipur,19
2278,4,Radial ,3,FWD,No,No,3335,1440,1405,Others,jaipur,16
2279,5,"Tubeless,Radial",4,FWD,No,No,4650,1918,1925,Others,jaipur,14
2280,5,"Tubeless,Radial",4,RWD,Yes,No,3995,1745,1880,Others,jaipur,16
2281,5,"Tubeless,Radial",3,FWD,No,No,3640,1595,1520,Others,jaipur,25
2282,4,"Tubeless,Radial",4,FWD,No,No,3585,1595,1550,Others,jaipur,20
2283,5,Tubeless Tyres,3,Not specified,No,No,3445,1515,1475,Others,jaipur,22
2284,4,Radial ,3,FWD,No,No,3335,1440,1405,Others,jaipur,16
2285,5,Radial,3,FWD,Yes,No,3995,1770,1605,Others,jaipur,18
2286,4,"Tubeless,Radial",4,FWD,No,No,4250,1670,1370,Others,jaipur,13
2287,2,"Tubeless,Radial",8,FWD,No,No,4894,1894,1369,Others,jaipur,8
2288,4,"Tubeless, Radial",3,FWD,No,No,3595,1475,1700,Others,jaipur,19
2289,5,Tubeless Radial Tyres,3,FWD,Yes,No,3994,1811,1607,Others,jaipur,17
2290,5,"Tubeless, Radial",3,Not specified,No,No,3991,1739,1643,Others,jaipur,20
2291,4,"Tubeless,Radial",4,FWD,No,No,4420,1695,1480,Others,jaipur,17
2292,5,"Tubeless,Radial",3,Not specified,NO,No,3993,1811,1606,Others,jaipur,17
2293,5,Tubeless Tyres,4,FWD,Yes,No,3840,1735,1530,Others,jaipur,25
2294,5,"Tubeless, Radial",3,FWD,No,No,0,0,0,Others,jaipur,18
2295,5,Tubeless Tyres,3,Not specified,No,No,3445,1515,1475,Others,jaipur,22
2296,5,"Tubeless, Radial",4,FWD,No,No,4315,1800,1645,Others,jaipur,17
2297,5,"Tubeless,Radial",4,FWD,No,No,3995,1745,1510,Others,jaipur,21
2298,5,"Tubeless,Radial",4,FWD,No,No,3995,1745,1510,Others,jaipur,21
2299,5,Tubeless Tyres,3,FWD,No,No,3430,1490,1475,Others,jaipur,25
2300,5,"Tubeless, Radial",3,FWD,No,No,3715,1635,1565,Others,jaipur,23
2301,5,"Tubeless,Radial ",4,FWD,Yes,No,4585,1890,1785,Others,jaipur,15
2302,5,"Tubeless,Radial",4,FWD,Yes,No,4300,1785,1595,Others,jaipur,25
2303,4,"Tubeless,Radial",2,RWD,No,No,3099,1495,1652,Others,jaipur,25
2304,5,"Tubeless,Radial",3,FWD,No,No,3675,1715,1635,Others,jaipur,18
2305,5,"Radial, Tubeless",4,Not specified,No,No,3845,1735,1530,Others,jaipur,22
2306,5,"Tubeless,Radial",4,Not specified,No,No,3760,1690,1530,Others,jaipur,16
2307,4,"Tubeless,Radial",3,FWD,No,No,3992,1677,1537,Others,jaipur,20
2308,5,"Tubeless,Radial",3,FWD,No,No,3500,1600,1490,Others,jaipur,17
2309,4,"Tubeless,Radial",4,FWD,Yes,No,4377,1620,1540,Others,jaipur,24
2310,5,"Tubeless, Radial",4,Not specified,No,No,3999,1734,1601,Others,jaipur,16
2311,5,"Tubeless, Radial",3,Not specified,No,No,3765,1677,1535,Others,jaipur,20
2312,5,"Tubeless,Radials",3,RWD,Yes,No,3995,1835,1826,Others,jaipur,18
2313,5,"Tubeless, Radial",3,Not specified,No,No,3991,1739,1643,Others,jaipur,20
2314,5,"Tubeless,Radial",3,FWD,No,No,3620,1475,1460,Others,jaipur,21
2315,5,"Tubeless,Radial",4,FWD,Yes,No,4315,1822,1695,Others,jaipur,19
2316,5,"Tubeless,Radial",4,FWD,No,No,3585,1595,1550,Others,jaipur,19
2317,5,"Tubeless,Radial",3,FWD,No,No,3495,1475,1460,Others,jaipur,20
2318,4,"Tubeless,Radial",4,FWD,Yes,No,3995,1695,1555,Others,jaipur,27
2319,4,Radial ,3,FWD,No,No,3335,1440,1405,Others,jaipur,16
2320,4,"Tubeless,Radial",4,FWD,Yes,No,4249,1690,1503,Others,jaipur,22
2321,4,"Tubeless,Radial",3,FWD,No,No,3595,1475,1700,Others,jaipur,19
2322,5,"Tubeless,Radial",3,FWD,Yes,No,3995,1745,1510,Others,jaipur,21
2323,5,"Tubeless, Radial",4,FWD,Yes,No,4296,1695,1685,Others,jaipur,25
2324,5,Tubeless Tyres,3,Not specified,No,No,3445,1515,1475,Others,jaipur,22
2325,5,"Tubeless,Radial",4,FWD,Yes,No,4315,1822,1695,Others,jaipur,19
2326,4,"Tubeless,Radial",4,FWD,Yes,No,3995,1695,1555,Others,jaipur,27
2327,5,"Tubeless,Radial",4,2WD,Yes,No,4170,1660,1880,Others,jaipur,16
2328,4,"Tubeless,Radial",4,FWD,Yes,No,4370,1700,1475,Others,jaipur,22
2329,4,"Tubeless,Radial",4,FWD,Yes,No,3990,1680,1505,Others,jaipur,26
2330,5,Tubeless,3,FWD,No,No,3495,1550,1500,Others,jaipur,21
2331,5,"Tubeless,Radial",3,Not specified,No,No,3990,1755,1523,Others,jaipur,19
2332,5,"Tubeless,Radial",4,Not specified,No,No,4580,1770,1755,Others,jaipur,13
2333,4,"Tubeless,Radial",4,FWD,No,No,4384,1699,1466,Others,jaipur,15
2334,5,"Tubeless,Radial",4,FWD,Yes,No,3825,1665,1525,Others,jaipur,23
2335,5,"Tubeless,Radial",4,FWD,No,No,3640,1595,1520,Others,jaipur,19
2336,5,"Radial, Tubeless",4,Not specified,No,No,3845,1735,1530,Others,jaipur,22
2337,4,"Tubeless,Radial",4,Not specified,No,No,3995,1680,1520,Others,jaipur,20
2338,5,"Tubeless,Radial",4,FWD,Yes,No,4315,1822,1695,Others,jaipur,20
2339,5,Tubeless Tyres,3,FWD,No,No,3395,1490,1475,Others,jaipur,23
2340,4,"Tubeless,Radial",4,FWD,Yes,No,3995,1706,1570,Others,jaipur,23
2341,5,Tubeless,3,FWD,No,No,3495,1550,1500,Others,jaipur,21
2342,5,"Tubeless, Radial",4,Not specified,No,No,3995,1775,1505,Others,jaipur,21
2343,5,"Tubeless,Radial",4,FWD,Yes,No,3999,1765,1708,Others,jaipur,23
2344,4,"Tubeless,Radial",4,FWD,Yes,No,4597,1788,1477,Others,jaipur,17
2345,4,"Tubeless,Radial",4,FWD,Yes,No,4440,1695,1495,Others,jaipur,26
2346,5,"Tubeless,Radial",3,FWD,No,No,3679,1579,1478,Others,jaipur,25
2347,5,"Tubeless,Radial",4,Not specified,No,No,0,0,0,Others,jaipur,18
2348,5,"Tubeless,Radial",3,FWD,No,No,3495,1475,1460,Others,jaipur,20
2349,4,"Tubeless,Radial",4,FWD,No,No,3585,1595,1550,Others,jaipur,20
2350,5,Radial,4,Not specified,No,No,3535,1495,1405,Others,jaipur,17
2351,5,Tubeless Tyres,3,FWD,No,No,3599,1495,1700,Others,jaipur,21
2352,5,Tubeless Tyres,3,FWD,No,No,3599,1495,1700,Others,jaipur,21
2353,5,Tubeless,3,FWD,No,No,3495,1550,1500,Others,jaipur,21
2354,4,"Tubeless,Radial",4,Not specified,No,No,0,0,0,Others,jaipur,18
2355,4,"Tubeless, Radial",3,FWD,No,No,3595,1475,1700,Others,jaipur,19
2356,5,"Tubeless,Radial",4,Front Wheel Drive,No,No,3795,1680,1427,Others,jaipur,20
2357,5,"Tubeless,Radial",4,FWD,No,No,3715,1680,1620,Others,jaipur,21
2358,5,"Tubeless,Radial",4,FWD,Yes,No,3775,1680,1620,Others,jaipur,23
2359,5,Tubeless Tyres,3,FWD,No,No,3395,1490,1475,Others,jaipur,23
2360,5,tubeless tyre,3,FWD,No,No,3435,1574,1546,Others,jaipur,21
2361,5,Radial,3,FWD,Yes,No,3995,1770,1605,Others,jaipur,18
2362,5,"Tubeless,Radial",3,FWD,No,No,3801,1665,1530,Others,jaipur,19
2363,4,"Tubeless,Radial",4,FWD,No,No,4440,1695,1485,Others,jaipur,17
2364,5,"Tubeless,Radial",3,FWD,No,No,3600,1495,1595,Others,jaipur,19
2365,4,"Tubeless,Radial",4,FWD,Yes,No,4440,1695,1495,Others,jaipur,26
2366,4,"Tubeless,Radial",4,FWD,Yes,No,3995,1695,1555,Others,jaipur,28
2367,4,"Tubeless,Radial",4,FWD,No,No,3995,1695,1501,Others,jaipur,18
2368,4,"Tubeless,Radial",3,Not specified,No,No,3993,1677,1532,Others,jaipur,26
2369,5,"Tubeless,Radial",3,Not specified,No,No,3990,1755,1523,Others,jaipur,19
2370,5,"Tubeless, Radial",4,FWD,Yes,No,4395,1735,1690,Others,jaipur,25
2371,5,"Tubeless,Radial",3,RWD,Yes,No,3985,1850,1880,Others,jaipur,17
2372,4,"Tubeless,Radial",4,FWD,Yes,No,4440,1695,1495,Others,jaipur,26
2373,5,"Tubeless,Radial",4,2WD,Yes,No,4107,1745,1880,Others,jaipur,16
2374,5,Tubeless Tyres,3,FWD,No,No,3430,1490,1475,Others,jaipur,25
2375,4,"Tubeless,Radial",4,FWD,Yes,No,4384,1699,1466,Others,jaipur,21
2376,4,"Tubeless,Radial",4,FWD,Yes,No,3990,1680,1505,Others,jaipur,26
2377,5,"Tubeless,Radial",4,FWD,No,No,3995,1790,1640,Others,jaipur,17
2378,5,"Tubeless,Radial",4,FWD,No,No,3995,1790,1640,Others,jaipur,17
2379,5,Not specified,3,2WD,No,No,3429,1560,1541,Others,jaipur,23
2380,5,Tubeless,3,FWD,No,No,3765,1660,1520,Others,jaipur,24
2381,4,"Tubeless,Radial",4,FWD,No,No,3585,1595,1550,Others,jaipur,20
2382,5,"Tubeless,Radial",4,2WD,Yes,No,4056,1660,1880,Others,jaipur,14
2383,4,"Tubeless,Radial",4,FWD,Yes,No,4833,1817,1482,Others,jaipur,14
2384,4,"Tubeless,Radial",4,FWD,Yes,No,4833,1817,1482,Others,jaipur,14
2385,4,"Tubeless,Radial",4,FWD,Yes,No,4833,1817,1482,Others,jaipur,14
2386,4,"Tubeless, Radial",4,FWD,No,No,4490,1735,1550,Others,jaipur,16
2387,5,"Tubeless,Radial",4,2WD,Yes,No,4056,1660,1880,Others,jaipur,14
2388,4,"Tubeless,Radial",4,FWD,Yes,No,3990,1680,1505,Others,jaipur,26
2389,4,"Tubeless,Radial",4,FWD,Yes,No,3990,1680,1505,Others,jaipur,26
2390,5,Tubeless Tyres,4,FWD,Yes,No,4331,2000,1671,Others,jaipur,20
2391,5,"Tubeless,Radial",4,FWD,No,No,3995,1745,1510,Others,jaipur,21
2392,5,"Tubeless Tyres, Radial",3,FWD,No,No,3655,1620,1675,Others,jaipur,22
2393,5,"Radial, Tubeless",4,Not specified,No,No,3845,1735,1530,Others,jaipur,22
2394,4,"Tubeless,Radial",4,FWD,Yes,No,4370,1700,1475,Others,jaipur,22
2395,4,"Tubeless,Radial",4,FWD,Yes,No,3995,1695,1555,Others,jaipur,23
2396,5,"Tubeless,Radial",4,FWD,No,No,3995,1745,1510,Others,jaipur,21
2397,5,"Tubeless,Radial",4,FWD,Yes,No,3850,1695,1530,Others,jaipur,23
2398,4,"Tubeless,Radial",4,FWD,Yes,No,4530,1775,1470,White,jaipur,23
2399,4,"Tubeless,Radial",4,FWD,Yes,No,3995,1695,1555,Others,jaipur,23
2400,5,"Tubeless,Radial",4,4WD,Yes,No,4695,1815,1840,Others,jaipur,14
2401,5,"Tubeless,Radial",4,FWD,No,No,3775,1680,1620,Others,jaipur,18
2402,4,"Tubeless, Radial",4,FWD,Yes,No,4490,1730,1485,Others,jaipur,28
2403,5,Radial,4,Not specified,No,No,3535,1495,1405,Others,jaipur,17
2404,5,"Radial, Tubeless",3,Not specified,No,No,3731,1579,1474,Others,jaipur,21
2405,4,"Tubeless, Radial",4,Not specified,No,No,4549,1748,1489,Others,jaipur,18
2406,4,"Tubeless,Radial",4,FWD,Yes,No,4440,1695,1495,Others,jaipur,26
2407,5,"Tubeless, Radial",3,FWD,No,No,0,0,0,Others,jaipur,18
2408,5,Tubeless Tyres,3,FWD,No,No,3395,1490,1475,Others,jaipur,23
2409,4,"Tubeless,Radial",4,FWD,Yes,No,3995,1735,1515,Others,jaipur,28
2410,4,"Tubeless,Radial",4,FWD,No,No,3585,1595,1550,Others,jaipur,20
2411,5,"Tubeless,Radial",4,FWD,Yes,No,3850,1695,1530,Others,jaipur,23
2412,4,"Tubeless,Radial",4,FWD,Yes,No,3995,1695,1555,Others,jaipur,23
2413,4,"Tubeless,Radial",4,FWD,Yes,No,3995,1695,1555,Others,jaipur,23
2414,4,"Tubeless,Radial",4,FWD,No,No,3585,1595,1550,Others,jaipur,20
2415,5,Tubeless Tyres,3,FWD,No,No,3395,1490,1475,Others,jaipur,23
2416,4,"Tubeless,Radial",4,FWD,Yes,No,3995,1695,1555,Others,jaipur,23
2417,5,"Tubeless,Radial",3,Not specified,Yes,No,3981,1733,1586,Others,jaipur,19
2418,4,"Tubeless, Radial",4,FWD,No,No,4490,1730,1485,Others,jaipur,21
2419,4,"Tubeless,Radial",4,FWD,Yes,No,3995,1735,1515,Others,jaipur,28
2420,5,"Tubeless,Radial",4,AWD,Yes,No,4688,1902,1658,Others,jaipur,11
2421,5,"Tubeless,Radial",4,FWD,Yes,No,4300,1785,1595,Others,jaipur,25
2422,5,"Tubeless,Radial",4,RWD,Yes,No,4440,1660,1977,Others,jaipur,16
2423,5,Tubeless,4,FWD,Yes,No,4315,1822,1695,Others,jaipur,20
2424,5,"Tubeless,Radial",3,FWD,No,No,3495,1475,1460,Others,jaipur,20
2425,5,Tubeless,4,FWD,No,No,3585,1595,1550,Others,jaipur,20
2426,4,"Tubeless, Radial",4,Not specified,No,No,3995,1735,1515,Others,jaipur,22
2427,4,"Tubeless,Radial",4,Not specified,No,No,3995,1680,1520,Others,jaipur,20
2428,5,"Tubless, Radial",4,FWD,Yes,No,4585,1866,1774,Others,jaipur,17
2429,5,"Tubeless,Radial",4,RWD,Yes,No,4107,1745,1880,Others,jaipur,16
2430,4,"Tubeless, Radial",3,FWD,No,No,3595,1475,1700,Others,jaipur,19
2431,5,"Tubeless,Radial",3,Not specified,No,No,3990,1755,1523,Others,jaipur,19
2432,5,Tubeless,4,FWD,No,No,3765,1660,1520,Others,jaipur,19
2433,4,"Tubeless,Radial",4,Not specified,Yes,No,3995,1695,1555,Others,jaipur,20
2434,5,"Tubeless,Radial",4,Not specified,Yes,No,4580,1770,1755,Others,jaipur,11
2435,5,"Tubeless, Radial",4,Not specified,No,No,3995,1775,1505,Others,jaipur,21
2436,5,"Tubeless,Radial",4,FWD,Yes,No,3995,1790,1640,Others,jaipur,24
2437,4,"Tubeless, Radial",4,FWD,No,No,4490,1730,1485,Others,jaipur,20
2438,4,"Tubeless, Radial",4,FWD,No,No,4490,1730,1485,Others,jaipur,20
2439,5,"Radial, Tubeless",4,Not specified,No,No,3845,1735,1530,Others,jaipur,22
2440,4,"Tubeless,Radial",4,FWD,No,No,3995,1695,1555,Others,jaipur,21
2441,5,Tubeless,3,FWD,No,No,3765,1660,1520,Others,jaipur,24
2442,4,"Tubeless,Radial",4,RWD,Yes,No,4795,2075,1416,Others,jaipur,14
2443,4,Radial,3,FWD,No,No,3335,1440,1405,Others,jaipur,16
2444,5,"Tubeless,Radial",3,FWD,No,No,3620,1475,1460,Others,jaipur,21
2445,5,"Tubeless,Radial",4,FWD,Yes,No,3805,1665,1525,Others,jaipur,23
2446,5,"Tubeless, Radial",3,FWD,No,No,3565,1520,1549,Others,jaipur,
2447,4,"Tubeless,Radial",4,FWD,Yes,No,3995,1706,1570,Others,jaipur,18
2448,5,"Tubeless,Radial",3,FWD,No,No,3495,1475,1460,Others,jaipur,20
2449,4,"Tubeless,Radial",4,FWD,Yes,No,4620,1800,1465,Light Orange,jaipur,15
2450,5,"Tubeless,Radial",4,FWD,Yes,No,3989,1706,1542,Others,jaipur,20
2451,5,"Tubeless,Radial ",4,FWD,Yes,No,4585,1890,1785,Others,jaipur,15
2452,4,"Tubeless,Radial",4,FWD,Yes,No,4440,1695,1495,Others,jaipur,26
2453,4,"Tubeless,Radial",4,FWD,Yes,No,4440,1695,1495,Others,jaipur,25
2454,4,Tubeless,4,FWD ,No,No,3995,1660,1520,Others,jaipur,19
2455,5,"Tubeless,Radial",3,FWD,No,No,3545,1515,1475,Others,jaipur,24
2456,4,"Tubeless,Radial",4,Not specified,No,No,3995,1680,1520,Others,jaipur,20
2457,4,"Tubeless,Radial",4,FWD,Yes,No,3995,1695,1555,Others,jaipur,23
2458,5,"Tubeless,Radial",4,FWD,No,No,3715,1680,1620,Others,jaipur,21
2459,5,"Tubeless,Radial",4,Front Wheel Drive,No,No,3795,1680,1427,Others,jaipur,20
2460,4,"Tubeless,Radial",4,FWD,No,No,4250,1670,1370,Others,jaipur,16
2461,5,"Tubeless,Radial",3,FWD,No,No,3545,1515,1475,Others,jaipur,24
2462,4,"Tubeless,Radial",4,FWD,No,No,4370,1700,1475,Others,jaipur,22
2463,5,"Tubeless,Radial",4,Not specified,No,No,3940,1710,1505,Others,jaipur,23
2464,5,"Tubeless,Radial",4,Not specified,No,No,3940,1710,1505,Others,jaipur,23
2465,5,"Tubeless,Radial",3,FWD,No,No,3545,1515,1475,Others,jaipur,24
2466,5,"Tubeless,Radial",3,FWD,No,No,3545,1515,1475,Others,jaipur,24
2467,5,"Tubeless,Radial",4,Not specified,No,No,3940,1710,1505,Others,jaipur,17
2468,5,"Tubeless,Radial",4,Front Wheel Drive,No,No,3795,1680,1427,Others,jaipur,16
2469,4,"Tubeless,Radial",4,FWD,Yes,No,4769,1820,1470,Others,jaipur,18
2470,4,"Tubeless,Radial",4,FWD,No,No,4540,1760,1480,Others,jaipur,15
2471,5,"Tubeless,Radial",3,FWD,Yes,No,3987,1698,1474,Others,jaipur,22
2472,5,"Tubeless,Radial",4,FWD,Yes,No,3850,1695,1530,Others,jaipur,23
2473,5,"Tubeless,Radial",3,2WD,No,No,3495,1475,1460,Others,jaipur,20
2474,4,"Tubeless,Radial",4,FWD,No,No,4420,1695,1480,Others,jaipur,17
2475,5,Tubeless,4,FWD,No,No,3840,1735,1530,Others,jaipur,22
2476,5,"Tubeless,Radial",4,FWD,Yes,No,3850,1695,1530,Others,jaipur,23
2477,5,"Tubeless,Radial",4,Not specified,No,No,3940,1710,1505,Others,jaipur,18
2478,5,"Tubeless,Radial",4,FWD,Yes,No,3850,1695,1530,Others,jaipur,23
2479,5,"Tubeless,Radial",4,FWD,Yes,No,3989,1706,1542,Others,jaipur,20
