c_id,number_of_doors,tyre_type,number_of_cylinders,drive_type,turbo_charger,super_charger,length(mm),width(mm),height(mm),color,city,Mileage(Kmpl)
71,5,"Tubeless,Radial",4,FWD,No,No,3610,1680,1500,Grey,kolkata,16
72,4,"Tubeless,Radial",4,FWD,No,No,4440,1695,1495,Grey,kolkata,17
73,4,"Tubeless,Radial",4,FWD,Yes,No,4915,2086,1455,White,kolkata,18
74,5,"Tubeless,Radial",3,Not specified,NO,No,3993,1811,1606,Foliage,kolkata,17
75,4,"Tubeless,Radial",4,FWD,No,No,3585,1595,1550,Others,kolkata,20
76,4,"Tubeless,Radial",4,Not specified,No,No,4325,1662,1593,Blue,kolkata,13
77,4,"Tubeless,Radial",4,FWD,No,No,4440,1695,1495,Silver,kolkata,17
78,4,"Tubeless, Radial",4,Not specified,No,No,4440,1729,1475,Blue,kolkata,18
79,4,"Tubeless,Radial",4,FWD,No,No,4530,1775,1470,Others,kolkata,16
80,4,"Tubeless,Radial",4,FWD,No,No,4570,1800,1465,Silver,kolkata,15
81,4,"Tubeless, Radial",4,Not specified,No,No,3995,1735,1515,Silver,kolkata,22
82,5,"Tubeless,Radial",4,FWD,No,No,3995,1745,1510,Red,kolkata,21
83,4,"Tubeless,Radial",4,RWD,No,No,4591,1770,1447,White,kolkata,15
84,4,"Tubeless, Radial",4,Not specified,No,No,3995,1735,1515,Silver,kolkata,22
85,5,Tubeless Tyres,3,FWD,No,No,3599,1495,1700,Silver,kolkata,21
86,5,"Tubeless,Radial",4,FWD,Yes,No,4265,1695,1685,Grey,kolkata,21
87,4,"Tubeless, Radial",4,Not specified,No,No,3995,1735,1515,Others,kolkata,22
88,5,"Tubeless,Radial",3,FWD,No,No,3495,1475,1460,Others,kolkata,20
89,5,"Tubeless,Radial",3,FWD,No,No,3700,1735,1655,White,kolkata,18
90,5,"Tubeless,Radial",4,FWD,No,No,3610,1645,1560,Silver,kolkata,20
91,5,"Tubeless,Radial",3,Not specified,No,No,3990,1755,1523,Others,kolkata,19
92,4,"Tubeless,Radial",4,FWD,Yes,No,4569,1769,1485,Maroon,kolkata,20
93,5,"Tubeless,Radial",3,Not specified,No,No,3990,1755,1523,Others,kolkata,19
94,5,Tubeless,4,FWD,Yes,No,4270,1780,1630,Others,kolkata,20
95,5,"Tubeless, Radial",3,FWD,No,No,3600,1475,1595,Red,kolkata,19
96,5,"Tubeless, Radial",3,FWD,No,No,3715,1635,1565,Others,kolkata,23
97,5,"Tubeless,Radial",4,AWD,Yes,No,4629,2089,1655,Brown,kolkata,14
98,5,"Tubeless,Radial",3,FWD,No,No,3500,1600,1490,Others,kolkata,19
99,5,"Tubeless,Radial",4,RWD,Yes,No,4585,1760,1760,Brown,kolkata,13
100,5,"Tubeless,Radial",4,4WD,Twin,yes,4879,2220,1803,White,kolkata,13
101,4,"Tubeless,Radial",4,FWD,No,No,4540,1760,1480,Blue,kolkata,15
102,5,"Tubeless, Radial",4,Not specified,Yes,No,4661,1894,1786,Blue,kolkata,14
103,5,"Tubeless, Radial",4,Not specified,Yes,No,4661,1894,1786,Sky Blue,kolkata,14
104,4,"Tubeless, Radial",3,FWD,No,No,3595,1475,1700,Silver,kolkata,19
105,5,Tubeless Tyres,4,FWD,Yes,No,4585,1890,1785,Others,kolkata,
106,5,"Tubeless,Radial",4,FWD,No,No,3995,1760,1555,Others,kolkata,17
107,5,"Radial, Tubeless",3,Not specified,No,No,3731,1579,1474,Red,kolkata,22
108,5,"Tubeless,Radial",4,FWD,Yes,No,4705,1840,1850,White,kolkata,13
109,5,"Tubeless,Radial",4,FWD,No,No,3999,1734,1601,Brown,kolkata,18
110,4,Tubeless,4,FWD,Yes,No,4375,1700,1475,Silver,kolkata,24
111,5,Tubeless,4,FWD,No,No,3585,1595,1550,Others,kolkata,20
112,5,"Tubeless,Radial",3,FWD,No,No,3565,1525,1590,Gray,kolkata,18
113,4,"Tubeless,Radial",5,AWD,Yes,No,4637,2097,1539,Silver,kolkata,20
114,5,"Tubeless,Radial",5,AWD,Yes,No,4644,2120,1713,White,kolkata,11
115,4,"Tubeless,Radial",4,FWD,No,No,4440,1695,1495,Others,kolkata,17
116,4,Tubeless,4,FWD,No,No,4375,1700,1475,Gray,kolkata,17
117,5,"Tubeless,Radial",4,FWD,No,No,3995,1760,1555,Others,kolkata,17
118,5,"Tubeless,Radial",4,2WD,No,No,4435,1680,1765,Others,kolkata,12
119,4,"Tubeless,Radial",4,FWD,Yes,No,4440,1695,1495,Brown,kolkata,26
120,5,"Tubeless,Radial",4,Not specified,Yes,No,4580,1770,1755,Grey,kolkata,13
121,4,"Tubeless,Radial",4,FWD,No,No,4440,1695,1495,Brown,kolkata,17
122,5,Tubeless,4,FWD,No,No,3765,1660,1520,Silver,kolkata,19
123,5,"Tubeless,Radial",3,FWD,No,No,3565,1525,1590,Gray,kolkata,18
124,5,"Tubeless,Radial",3,FWD,No,No,3679,1579,1478,Red,kolkata,23
125,5,"Tubeless,Radial",4,FWD,No,No,3610,1645,1560,Others,kolkata,20
126,5,Tubeless,4,FWD,No,No,3985,1734,1505,Black,kolkata,19
127,5,Tubeless,4,FWD,No,No,3765,1660,1520,Silver,kolkata,19
128,5,"Tubeless,Radial",4,FWD,No,No,4395,1735,1690,Grey,kolkata,19
129,5,Tubeless,4,FWD,No,No,4315,1822,1695,Red,kolkata,13
130,5,"Tubeless,Radial",4,FWD,No,No,3610,1680,1500,Silver,kolkata,19
131,5,"Tubeless, Radial",4,FWD,No,No,4315,1800,1645,Orange,kolkata,
132,5,"Tubeless, Radial",3,Not specified,Yes,No,3995,1821,1627,White,kolkata,16
133,4,"Tubeless,Radial",4,FWD,No,No,3585,1595,1550,Red,kolkata,17
134,5,Not specified,4,Not specified,Yes,No,4405,1818,1640,Gray,kolkata,
